created_at,player_name,score,room,game_version,player_color,boons,boon_order
2026-04-08 20:54:34.97629+00,ENTER CALLSIGN,800,6,1.16.10,green,"{""color"":""green"",""order"":""Snipe Shot,Echo Fire,Shockwave,Late Bloom,Bigger Bullets"",""picks"":[{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 1""},{""icon"":""🔵"",""name"":""Bigger Bullets"",""detail"":""Tier 1""},{""icon"":""↺"",""name"":""Echo Fire"",""detail"":""Every 5th shot fires free echo""},{""icon"":""🌱"",""name"":""Late Bloom"",""detail"":""+0% dmg, -6% speed""},{""icon"":""⚡"",""name"":""Shockwave"",""detail"":""Full charge → push enemies""}]}","Snipe Shot,Echo Fire,Shockwave,Late Bloom,Bigger Bullets"
2026-04-08 20:07:22.659762+00,CHEEZYCHARLIE,6895,17,1.16.10,cyan,"{""color"":""cyan"",""order"":""Snipe Shot,Ricochet,Rapid Fire,Kinetic Harvest,Fracture,Slipstream,Critical Hit,Overcharge Vent,Twin Lance,Long Reach,Lifeline,Bigger Bullets,Rapid Fire,Bigger Bullets,Recover,Kinetic Harvest"",""picks"":[{""icon"":""⚡"",""name"":""Rapid Fire"",""detail"":""Tier 2 - 1.8 SPS""},{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 1""},{""icon"":""≫"",""name"":""Twin Lance"",""detail"":""+1 forward lane""},{""icon"":""🔵"",""name"":""Bigger Bullets"",""detail"":""Tier 2""},{""icon"":""💥"",""name"":""Critical Hit"",""detail"":""20% crit chance""},{""icon"":""↯"",""name"":""Ricochet"",""detail"":""Bullets bounce on walls""},{""icon"":""🌀"",""name"":""Kinetic Harvest"",""detail"":""0.57 charge/sec while moving""},{""icon"":""➶"",""name"":""Long Reach"",""detail"":""+18% shot lifespan""},{""icon"":""〜"",""name"":""Slipstream"",""detail"":""+0.35 charge/near-miss""},{""icon"":""⬆"",""name"":""Overcharge Vent"",""detail"":""+40% dmg at full charge""},{""icon"":""♾"",""name"":""Lifeline"",""detail"":""SPENT""},{""icon"":""⋔+"",""name"":""Fracture"",""detail"":""Bullets split on wall bounce""}]}","Snipe Shot,Ricochet,Rapid Fire,Kinetic Harvest,Fracture,Slipstream,Critical Hit,Overcharge Vent,Twin Lance,Long Reach,Lifeline,Bigger Bullets,Rapid Fire,Bigger Bullets,Recover,Kinetic Harvest"
2026-04-08 19:59:57.621049+00,CHEEZYCHARLIE,3505,12,1.16.10,cyan,"{""color"":""cyan"",""order"":""Twin Lance,Resonant Absorb,Twin Lance,Slipstream,Vampiric Return,Snipe Shot,Dense Core,Orbit Spheres,Dense Core,Homing,Faster Bullets"",""picks"":[{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 1""},{""icon"":""≫"",""name"":""Twin Lance"",""detail"":""+2 forward lanes""},{""icon"":""💨"",""name"":""Faster Bullets"",""detail"":""Tier 1""},{""icon"":""🌀"",""name"":""Homing"",""detail"":""Shots curve into targets""},{""icon"":""🔮"",""name"":""Orbit Spheres"",""detail"":""1 sphere""},{""icon"":""◈"",""name"":""Dense Core"",""detail"":""Tier 2 — ×1.44 dmg, cap: 2""},{""icon"":""〜"",""name"":""Slipstream"",""detail"":""+0.35 charge/near-miss""},{""icon"":""≋"",""name"":""Resonant Absorb"",""detail"":""Combo absorbs give 1.5× charge""},{""icon"":""🩸"",""name"":""Vampiric Return"",""detail"":""+4 HP per kill, +0.3 charge""}]}","Twin Lance,Resonant Absorb,Twin Lance,Slipstream,Vampiric Return,Snipe Shot,Dense Core,Orbit Spheres,Dense Core,Homing,Faster Bullets"
2026-04-08 16:43:38.512506+00,CHEEZYCHARLIE,44170,48,1.16.10,cyan,"{""color"":""cyan"",""order"":""Deep Reserve,Lifeline,Resonant Absorb,Homing,Pierce,Rapid Fire,Critical Hit,Volatile Rounds,Twin Lance,Quick Harvest,Twin Lance,Vampiric Return,Chain Magnet,Armor Weave,Ricochet,Blood Pact,Armor Weave,Crimson Harvest,Fracture,Snipe Shot,Refraction,Faster Bullets,Critical Hit,Predator's Instinct,Escalation,Dense Core,Late Bloom,Blood Rush,Rampage,Snipe Shot,Bigger Bullets,Slipstream,Mirror Tide,Mirror Tide,Snipe Shot,Deep Reserve,Extra Life,Extra Life,Long Reach,Payload,Bigger Bullets,Dense Core,Echo Fire,Mirror Tide,Dense Core,Kinetic Harvest"",""picks"":[{""icon"":""⚡"",""name"":""Rapid Fire"",""detail"":""Tier 1 - 1.0 SPS""},{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 3""},{""icon"":""≫"",""name"":""Twin Lance"",""detail"":""+2 forward lanes""},{""icon"":""🔵"",""name"":""Bigger Bullets"",""detail"":""Tier 2""},{""icon"":""💨"",""name"":""Faster Bullets"",""detail"":""Tier 1""},{""icon"":""💥"",""name"":""Critical Hit"",""detail"":""40% crit chance""},{""icon"":""↯"",""name"":""Ricochet"",""detail"":""Bullets bounce on walls""},{""icon"":""🌀"",""name"":""Homing"",""detail"":""Shots curve into targets""},{""icon"":""→"",""name"":""Pierce"",""detail"":""Tier 1""},{""icon"":""⬇"",""name"":""Quick Harvest"",""detail"":""+47% absorb value""},{""icon"":""▣"",""name"":""Deep Reserve"",""detail"":""+33 flat charge""},{""icon"":""🌀"",""name"":""Kinetic Harvest"",""detail"":""0.53 charge/sec while moving""},{""icon"":""➶"",""name"":""Long Reach"",""detail"":""+18% shot lifespan""},{""icon"":""◉"",""name"":""Extra Life"",""detail"":""Tier 2""},{""icon"":""🧱"",""name"":""Armor Weave"",""detail"":""30% damage reduction""},{""icon"":""◈"",""name"":""Dense Core"",""detail"":""Tier 3 — ×1.66 dmg, cap: 3""},{""icon"":""〜"",""name"":""Slipstream"",""detail"":""+0.35 charge/near-miss""},{""icon"":""≋"",""name"":""Resonant Absorb"",""detail"":""Combo absorbs give 1.5× charge""},{""icon"":""⤥"",""name"":""Chain Magnet"",""detail"":""500ms double pull""},{""icon"":""🩸"",""name"":""Vampiric Return"",""detail"":""+4 HP per kill, +0.3 charge""},{""icon"":""🐺"",""name"":""Predator's Instinct"",""detail"":""Kill streak: +40% damage (max +100%)""},{""icon"":""🩸+"",""name"":""Blood Pact"",""detail"":""+1 HP per enemy hit (pierce only)""},{""icon"":""♾"",""name"":""Lifeline"",""detail"":""SPENT""},{""icon"":""↺"",""name"":""Echo Fire"",""detail"":""Every 5th shot fires free echo""},{""icon"":""⋔+"",""name"":""Fracture"",""detail"":""Bullets split on wall bounce""},{""icon"":""💢"",""name"":""Volatile Rounds"",""detail"":""Pierce shots burst on final hit""},{""icon"":""🌊"",""name"":""GHOST FLOW"",""detail"":""Speed-scaled absorb, ×2 near-miss""},{""icon"":""🩸→"",""name"":""Blood Rush"",""detail"":""+2 stacks (16% speed)""},{""icon"":""🩸+"",""name"":""Crimson Harvest"",""detail"":""Kills drop extra grey bullet""},{""icon"":""💀+"",""name"":""Rampage"",""detail"":""Free 8-way burst""},{""icon"":""🌱"",""name"":""Late Bloom"",""detail"":""+24% dmg, -6% speed""},{""icon"":""📈"",""name"":""Escalation"",""detail"":""+4% dmg""},{""icon"":""💣"",""name"":""Payload"",""detail"":""Bullets explode on impact""},{""icon"":""💡"",""name"":""Refraction"",""detail"":""Cooldown: 0.0s""},{""icon"":""🪞"",""name"":""Mirror Tide"",""detail"":""1/3 room uses, 1.9s cd""}]}","Deep Reserve,Lifeline,Resonant Absorb,Homing,Pierce,Rapid Fire,Critical Hit,Volatile Rounds,Twin Lance,Quick Harvest,Twin Lance,Vampiric Return,Chain Magnet,Armor Weave,Ricochet,Blood Pact,Armor Weave,Crimson Harvest,Fracture,Snipe Shot,Refraction,Faster Bullets,Critical Hit,Predator's Instinct,Escalation,Dense Core,Late Bloom,Blood Rush,Rampage,Snipe Shot,Bigger Bullets,Slipstream,Mirror Tide,Mirror Tide,Snipe Shot,Deep Reserve,Extra Life,Extra Life,Long Reach,Payload,Bigger Bullets,Dense Core,Echo Fire,Mirror Tide,Dense Core,Kinetic Harvest"
2026-04-08 16:00:19.486759+00,CHEEZYCHARLIE,7440,19,1.16.10,cyan,"{""color"":""cyan"",""order"":""Quick Harvest,Gravity Well,Snipe Shot,Wider Absorb,Homing,Echo Fire,Pierce,Refraction,Deep Reserve,Gravity Well II,Bigger Bullets,Payload,Dense Core,Volatile Rounds,Charge Cap Up,Deep Reserve,Ricochet,Armor Weave"",""picks"":[{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 1""},{""icon"":""🔵"",""name"":""Bigger Bullets"",""detail"":""Tier 1""},{""icon"":""↯"",""name"":""Ricochet"",""detail"":""Bullets bounce on walls""},{""icon"":""🌀"",""name"":""Homing"",""detail"":""Shots curve into targets""},{""icon"":""→"",""name"":""Pierce"",""detail"":""Tier 1""},{""icon"":""⬇"",""name"":""Quick Harvest"",""detail"":""+47% absorb value""},{""icon"":""◆"",""name"":""Charge Cap Up"",""detail"":""+15% capacity""},{""icon"":""▣"",""name"":""Deep Reserve"",""detail"":""+33 flat charge""},{""icon"":""🧲"",""name"":""Wider Absorb"",""detail"":""+12 absorb range""},{""icon"":""🧱"",""name"":""Armor Weave"",""detail"":""15% damage reduction""},{""icon"":""◈"",""name"":""Dense Core"",""detail"":""Tier 1 — ×1.22 dmg, cap: 33""},{""icon"":""⊙"",""name"":""Gravity Well"",""detail"":""Slows nearby danger bullets 30%""},{""icon"":""↺"",""name"":""Echo Fire"",""detail"":""Every 5th shot fires free echo""},{""icon"":""💢"",""name"":""Volatile Rounds"",""detail"":""Pierce shots burst on final hit""},{""icon"":""💣"",""name"":""Payload"",""detail"":""Bullets explode on impact""},{""icon"":""⊙+"",""name"":""Gravity Well II"",""detail"":""Slows bullets & enemies""},{""icon"":""💡"",""name"":""Refraction"",""detail"":""Cooldown: 0.0s""}]}","Quick Harvest,Gravity Well,Snipe Shot,Wider Absorb,Homing,Echo Fire,Pierce,Refraction,Deep Reserve,Gravity Well II,Bigger Bullets,Payload,Dense Core,Volatile Rounds,Charge Cap Up,Deep Reserve,Ricochet,Armor Weave"
2026-04-08 15:34:35.233391+00,G,3080,10,1.16.10,green,"{""color"":""green"",""order"":""Overload,Critical Hit,Long Reach,Spread Shot,Homing,Recover,Phase Dash,Bigger Bullets,Payload"",""picks"":[{""icon"":""🔵"",""name"":""Bigger Bullets"",""detail"":""Tier 1""},{""icon"":""💥"",""name"":""Critical Hit"",""detail"":""20% crit chance""},{""icon"":""🌀"",""name"":""Homing"",""detail"":""Shots curve into targets""},{""icon"":""➶"",""name"":""Long Reach"",""detail"":""+18% shot lifespan""},{""icon"":""⬄"",""name"":""Spread Shot"",""detail"":""3-bullet cone spread""},{""icon"":""💣"",""name"":""Payload"",""detail"":""Bullets explode on impact""},{""icon"":""💨"",""name"":""Phase Dash"",""detail"":""0/1 room uses, 0.0s cd""},{""icon"":""⚡"",""name"":""Overload"",""detail"":""Auto ×2 damage at full charge""}]}","Overload,Critical Hit,Long Reach,Spread Shot,Homing,Recover,Phase Dash,Bigger Bullets,Payload"
2026-04-08 15:27:58.862052+00,WHYNCHU,9350,23,1.16.10,red,"{""color"":""red"",""order"":""Orbit Spheres,Phase Dash,Lifeline,Long Reach,Pierce,Orbit Spheres,Charged Orbs,Echo Fire,Rapid Fire,Twin Lance,Snipe Shot,Kinetic Harvest,Armor Weave,Long Reach,Late Bloom,Kinetic Harvest,Ricochet,Gravity Well,Vampiric Return,Blood Rush,Phase Dash,Snipe Shot"",""picks"":[{""icon"":""⚡"",""name"":""Rapid Fire"",""detail"":""Tier 1 - 1.0 SPS""},{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 2""},{""icon"":""≫"",""name"":""Twin Lance"",""detail"":""+1 forward lane""},{""icon"":""↯"",""name"":""Ricochet"",""detail"":""Bullets bounce on walls""},{""icon"":""→"",""name"":""Pierce"",""detail"":""Tier 1""},{""icon"":""🌀"",""name"":""Kinetic Harvest"",""detail"":""0.57 charge/sec while moving""},{""icon"":""➶"",""name"":""Long Reach"",""detail"":""+26% shot lifespan""},{""icon"":""🧱"",""name"":""Armor Weave"",""detail"":""15% damage reduction""},{""icon"":""🔮"",""name"":""Orbit Spheres"",""detail"":""2 spheres""},{""icon"":""⊙"",""name"":""Gravity Well"",""detail"":""Slows nearby danger bullets 30%""},{""icon"":""🩸"",""name"":""Vampiric Return"",""detail"":""+4 HP per kill, +0.3 charge""},{""icon"":""♾"",""name"":""Lifeline"",""detail"":""SPENT""},{""icon"":""↺"",""name"":""Echo Fire"",""detail"":""Every 5th shot fires free echo""},{""icon"":""🩸→"",""name"":""Blood Rush"",""detail"":""+4 stacks (32% speed)""},{""icon"":""🌱"",""name"":""Late Bloom"",""detail"":""+0% dmg, -6% speed""},{""icon"":""⊙"",""name"":""Gravity Well"",""detail"":""Slows nearby danger bullets""},{""icon"":""💨"",""name"":""Phase Dash"",""detail"":""0/2 room uses, 3.5s cd""},{""icon"":""⚡"",""name"":""Charged Orbs"",""detail"":""Orbs fire shot every 1.8s""}]}","Orbit Spheres,Phase Dash,Lifeline,Long Reach,Pierce,Orbit Spheres,Charged Orbs,Echo Fire,Rapid Fire,Twin Lance,Snipe Shot,Kinetic Harvest,Armor Weave,Long Reach,Late Bloom,Kinetic Harvest,Ricochet,Gravity Well,Vampiric Return,Blood Rush,Phase Dash,Snipe Shot"
2026-04-08 03:38:07.484277+00,CHEEZYCHARLIE,9315,22,1.16.10,cyan,"{""color"":""cyan"",""order"":""Resonant Absorb,Twin Lance,Snipe Shot,Decay Extension,Pierce,Snipe Shot,Recover,Rapid Fire,Faster Bullets,Snipe Shot,Protective Shield,Protective Shield,Volatile Rounds,Kinetic Harvest,Ricochet,Swift Ward,Kinetic Harvest,Fracture,Homing,Charge Cap Up,Quick Harvest"",""picks"":[{""icon"":""⚡"",""name"":""Rapid Fire"",""detail"":""Tier 1 - 1.0 SPS""},{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 3""},{""icon"":""≫"",""name"":""Twin Lance"",""detail"":""+1 forward lane""},{""icon"":""💨"",""name"":""Faster Bullets"",""detail"":""Tier 1""},{""icon"":""↯"",""name"":""Ricochet"",""detail"":""Bullets bounce on walls""},{""icon"":""🌀"",""name"":""Homing"",""detail"":""Shots curve into targets""},{""icon"":""→"",""name"":""Pierce"",""detail"":""Tier 1""},{""icon"":""⬇"",""name"":""Quick Harvest"",""detail"":""+47% absorb value""},{""icon"":""⏳"",""name"":""Decay Extension"",""detail"":""+1s linger""},{""icon"":""◆"",""name"":""Charge Cap Up"",""detail"":""+15% capacity""},{""icon"":""🌀"",""name"":""Kinetic Harvest"",""detail"":""0.57 charge/sec while moving""},{""icon"":""🛡️"",""name"":""Protective Shield"",""detail"":""2 shield plates""},{""icon"":""⚡🛡️"",""name"":""Swift Ward"",""detail"":""Shields recharge in 3.5s""},{""icon"":""≋"",""name"":""Resonant Absorb"",""detail"":""Combo absorbs give 1.5× charge""},{""icon"":""⋔+"",""name"":""Fracture"",""detail"":""Bullets split on wall bounce""},{""icon"":""💢"",""name"":""Volatile Rounds"",""detail"":""Pierce shots burst on final hit""}]}","Resonant Absorb,Twin Lance,Snipe Shot,Decay Extension,Pierce,Snipe Shot,Recover,Rapid Fire,Faster Bullets,Snipe Shot,Protective Shield,Protective Shield,Volatile Rounds,Kinetic Harvest,Ricochet,Swift Ward,Kinetic Harvest,Fracture,Homing,Charge Cap Up,Quick Harvest"
2026-04-08 02:46:25.01604+00,JONNYBILLZ,3020,11,1.16.10,purple,"{""color"":""purple"",""order"":""Pierce,Snipe Shot,Late Bloom,Ricochet,Deep Reserve,Rapid Fire,Recover,Resonant Absorb,Echo Fire,Recover"",""picks"":[{""icon"":""⚡"",""name"":""Rapid Fire"",""detail"":""Tier 1 - 1.0 SPS""},{""icon"":""🎯"",""name"":""Snipe Shot"",""detail"":""Tier 1""},{""icon"":""↯"",""name"":""Ricochet"",""detail"":""Bullets bounce on walls""},{""icon"":""→"",""name"":""Pierce"",""detail"":""Tier 1""},{""icon"":""▣"",""name"":""Deep Reserve"",""detail"":""+18 flat charge""},{""icon"":""≋"",""name"":""Resonant Absorb"",""detail"":""Combo absorbs give 1.5× charge""},{""icon"":""↺"",""name"":""Echo Fire"",""detail"":""Every 5th shot fires free echo""},{""icon"":""🌱"",""name"":""Late Bloom"",""detail"":""+0% dmg, -6% speed""}]}","Pierce,Snipe Shot,Late Bloom,Ricochet,Deep Reserve,Rapid Fire,Recover,Resonant Absorb,Echo Fire,Recover"
2026-04-08 02:28:48.798212+00,JONNYBILLZ,2570,10,1.16.10,purple,"{""color"":""purple"",""order"":""Late Bloom,Phase Dash,Decay Extension,Chain Magnet,Quick Harvest,Charge Cap Up,Ricochet,Charge Cap Up,Phase Dash"",""picks"":[{""icon"":""↯"",""name"":""Ricochet"",""detail"":""Bullets bounce on walls""},{""icon"":""⬇"",""name"":""Quick Harvest"",""detail"":""+47% absorb value""},{""icon"":""⏳"",""name"":""Decay Extension"",""detail"":""+1s linger""},{""icon"":""◆"",""name"":""Charge Cap Up"",""detail"":""+30% capacity""},{""icon"":""⤥"",""name"":""Chain Magnet"",""detail"":""500ms double pull""},{""icon"":""🌱"",""name"":""Late Bloom"",""detail"":""+0% dmg, -6% speed""},{""icon"":""💨"",""name"":""Phase Dash"",""detail"":""0/2 room uses, 3.6s cd""}]}","Late Bloom,Phase Dash,Decay Extension,Chain Magnet,Quick Harvest,Charge Cap Up,Ricochet,Charge Cap Up,Phase Dash"
